93,22,花样饮品：视频版（第二版）（汉竹）,鱼菲,花样饮品教程大全！创意茶饮、低卡果蔬汁、人气奶茶、简约咖啡、浪漫鸡尾酒……步骤全图解，视频全附赠。用常见食材，在家自制快手饮品，好喝无添加，健康又营养，四季快乐源泉。,22.00,img3m2.ddimg.cn/54/24/29463642-1_w_5.jpg,img3m2.ddimg.cn/54/24/29463642-4_u_5.jpg,img3m2.ddimg.cn/54/24/29463642-5_u_3.jpg
94,23,向心城市：迈向未来的活力、宜居与和谐,陆铭,刷新有关城市的观念，《大国大城》姊妹篇，理解向心趋势，读懂中国城市的未来。周其仁、刘世锦、刘守英、何帆力荐！,32.50,img3m0.ddimg.cn/97/20/29442400-1_w_4.jpg,img3m0.ddimg.cn/97/20/29442400-2_u_3.jpg,img3m0.ddimg.cn/97/20/29442400-3_u_3.jpg
95,23,中国经济2022：城市深化与产业重组,王德培,全球经济危机四伏，中国经济重大转折。聚焦数字化转型、“双碳”两大未来经济发展主线，阐释区域发展再均衡、城市经济新功能，从不确定性中寻找确定，从变局中发现机遇。,29.00,img3m9.ddimg.cn/96/29/29445369-1_u_7.jpg,img3m9.ddimg.cn/96/29/29445369-3_u_5.jpg,img3m9.ddimg.cn/96/29/29445369-4_u_5.jpg
96,24,有趣的金钱：人生第一堂理财课,姜立涵,"适合中国年轻人的金融科普读物 一本书教你学会与金钱相处 关于收入、缴税、社保、储蓄、投资、保险，每个人必须知道的事 金钱，每个人都躲不开，学习并驾驭它，是我们一生的课题",25.50,img3m5.ddimg.cn/47/0/29396315-1_w_7.jpg,img3m5.ddimg.cn/47/0/29396315-3_u_3.jpg,img3m5.ddimg.cn/47/0/29396315-2_u_3.jpg
97,24,股票魔法师IV：赢家法则（精装）,"（美）Mark Minervini（马克·米勒维尼）","有了正确的心态，你就能成为自己生活的冠军，完成你想象中的任何事情。培养胜利的心态，迎接每一次挑战！《股票魔法师纵横天下股市的奥秘》《像冠军一样思考和交易》作者Mark Minervini新著震撼上市！",5050.00,img3m0.ddimg.cn/76/12/29446240-1_w_6.jpg,img3m0.ddimg.cn/76/12/29446240-2_u_3.jpg,img3m0.ddimg.cn/76/12/29446240-4_u_3.jpg
98,25,宇宙（特装版）,"【美】卡尔·萨根，译者 虞北冥，果麦文化 出品",450幅精美彩插震撼呈现，浪漫宇宙尽收眼底。从大爆炸的混沌到宇宙的秩序，解锁时空中的伟大谜团，历数人类探索宇宙的高光时刻。启发众多读者的宇宙认知和想象，点燃探索星辰大海的激情。,198.00,img3m8.ddimg.cn/76/9/29419708-1_w_4.jpg,img3m8.ddimg.cn/76/9/29419708-4_u_1.jpg,img3m8.ddimg.cn/76/9/29419708-5_u_1.jpg
99,25,人类知道的太多了：热门宇宙问题答案清单,"[巴拿马]豪尔赫·陈，[美]丹尼尔·怀特森 著、邓舒夏，尔欣中，苟利军 译","文津奖获奖作者新作，一本书解答95%的人类都会问的宇宙大问题，满足你对这个世界根本的好奇心。《七堂极简物理课》作者卡洛·罗韦利、天文学家苟利军好评推荐 ",34.00,img3m8.ddimg.cn/13/32/29470828-1_u_4.jpg,img3m8.ddimg.cn/13/32/29470828-2_u_4.jpg,img3m8.ddimg.cn/13/32/29470828-3_u_4.jpg
100,26,物种起源（插图收藏版）,"查尔斯·达尔文 著，苗德岁 译","“古生物界诺贝尔奖”获得者苗德岁独译，《物种起源》初版首个中译本，公认本版更忠实于“进化论”思想。“世界杰出女科学家”张弥曼推荐译本，国际古脊椎动物协会主席作序，张弥曼、周忠和、王原、徐星等专家力荐 ",51.80,img3m6.ddimg.cn/98/10/25241336-1_u_6.jpg,img3m6.ddimg.cn/98/10/25241336-2_u_9.jpg,img3m6.ddimg.cn/98/10/25241336-3_u_6.jpg
101,26,自然史,［法］布封著,世界大师写给你的科学通识读本！一部包括地球史、人类史、动物史、鸟类史和矿物史的经典读物，关于地球46亿年的传世博物志。用诗意语言讲述万物起源，找回我们与自然曾共享的语言,26.00,img3m9.ddimg.cn/28/8/28994059-1_w_9.jpg,img3m9.ddimg.cn/28/8/28994059-2_u_12.jpg,img3m9.ddimg.cn/28/8/28994059-4_u_6.jpg
102,27,奇迹男孩英文版原版,R·J帕拉西奥,"少年小说 奥斯卡提名 奇迹 温馨励志 同名电影 感动献映",18.70,img3m5.ddimg.cn/72/29/1395985905-1_w_26.jpg,img3m5.ddimg.cn/72/29/1395985905-2_u_14.jpg,img3m5.ddimg.cn/72/29/1395985905-4_u_5.jpg
103,27,"Flipped 英文原版 怦然心动",WendelinVanDraanen温德林·凡·德雷宁,"经典 豆瓣130万读者共同认可的经典之作",22.50,img3m5.ddimg.cn/51/27/1294548405-1_w_41.jpg,img3m5.ddimg.cn/51/27/1294548405-3_u_14.jpg,img3m5.ddimg.cn/51/27/1294548405-4_u_12.jpg
104,28,"哆啦A梦教你50音图 初级儿童日语启蒙",藤子·F·不二雄,和哆啦A梦一起学习五十音图,83.00,img3m6.ddimg.cn/60/10/1473324396-1_w_3.jpg,img3m6.ddimg.cn/60/10/1473324396-3_u_2.jpg,img3m6.ddimg.cn/60/10/1473324396-5_u_1.jpg
105,28,藤本树短篇集,藤本タツキ,"进口日文原版 日版漫画 集英社 JUMP 动漫ACG",35.30,img3m4.ddimg.cn/49/17/695641864-1_w_5.jpg,img3m4.ddimg.cn/49/17/695641864-2_u_5.jpg,img3m4.ddimg.cn/49/17/695641864-4_u_4.jpg
106,29,周杰伦新专辑最伟大的作品CD,周杰伦,"2022新专辑实体光盘正版cd碟片 进口版",203.84,img3m9.ddimg.cn/27/17/11180366829-1_u_17.jpg,img3m9.ddimg.cn/27/17/11180366829-2_u_13.jpg,img3m9.ddimg.cn/27/17/11180366829-5_u_13.jpg
107,29,李健专辑正版cd流行民谣歌曲,李健,无损音质黑胶唱片音乐光盘车载CD碟片,69.00,img3m0.ddimg.cn/46/19/1682191810-1_u_2.jpg,img3m0.ddimg.cn/46/19/1682191810-2_u_1.jpg,
108,30,变异狂鲨（DVD9）,德克兰·奥布莱恩,豆瓣拒绝评分,25.20,img3m4.ddimg.cn/77/16/23051534-1_w_2.jpg,NULL,NULL
109,30,蜘蛛侠三部曲,漫威,漫威超级英雄电影蜘蛛侠全集,119.70,img3m8.ddimg.cn/88/30/23213608-1_w_2.jpg,NULL,NULL
