"id","name","author","profile","price","image1","image2","image3","category_id","sales","stock"
48,"2022.12英语六级真题考试指南","上海交通大学潘晓燕","全国4、6级阅卷组长上海交大潘晓燕教授主编 /专为基础一般的初次考生量身打造/ 畅销20载权威历史标杆真题！/精选视频课程/真题+专项训练8书合一",29.9,"img3m9.ddimg.cn/1/18/29136889-1_u_47.jpg","img3m9.ddimg.cn/1/18/29136889-4_u_46.jpg","img3m9.ddimg.cn/1/18/29136889-6_u_24.jpg",14,0,0
49,"傲慢与偏见","（英） 奥斯丁 著，罗良功 译","简 奥斯丁的代表作《傲慢与偏见》，不仅是英国文苑的奇葩，也是世界文库的珍品，被英国著名小说家和戏剧家毛姆列为世界十大小说经典名著之一。 ",9.2,"img3m6.ddimg.cn/3/25/23717136-1_w_10.jpg","","",15,0,0
50,"呼啸山庄","（英）勃朗特　著，宋兆霖　译","名家全译本 浙江大学教授、著名翻译家宋兆霖权威译作《月亮与六便士》作者毛姆盛赞：“我不知道还有哪一部小说能如此令人震惊地表现出爱情的痛苦、残酷、执着。”关于“丧”，它比《人间失格》早了一百年。",6.2,"img3m6.ddimg.cn/13/35/23717146-1_w_8.jpg","img3m6.ddimg.cn/13/35/23717146-2_u_6.jpg","img3m6.ddimg.cn/13/35/23717146-3_u_2.jpg",15,0,0
51,"少年维特的烦恼","（德）歌德 著，杨武能 译","名家全译本 四川大学教授、著名翻译家杨武能权威译作 国际大师插图 完美典藏版",5.0,"img3m1.ddimg.cn/18/3/23717151-1_w_9.jpg","img3m1.ddimg.cn/18/3/23717151-2_u_7.jpg","img3m1.ddimg.cn/18/3/23717151-3_u_1.jpg",15,0,0
52,"苦儿流浪记","（法）埃克多·马洛　著，唐珍　译","名家全译本 浙江大学教授、著名翻译家唐珍译作 国际大师插图",15.2,"img3m9.ddimg.cn/61/27/23806789-1_w_8.jpg","img3m9.ddimg.cn/61/27/23806789-3_u_2.jpg","",15,0,0
53,"套中人 契诃夫短篇小说选","（俄）契科夫　著，李辉凡　译","名家全译本 著名翻译家李辉凡教授译作 国际大师插图",16.9,"img3m1.ddimg.cn/53/19/23806781-1_u_11.jpg","img3m1.ddimg.cn/53/19/23806781-2_u_3.jpg","",15,0,0
54,"三个火枪手","（法）大仲马　著，李玉民　译","名家全译本 首都师范大学法语教授、著名翻译家李玉民译作 国际大师插图",18.0,"img3m3.ddimg.cn/65/31/23806793-3_u_10.jpg","img3m3.ddimg.cn/65/31/23806793-2_u_9.jpg","img3m3.ddimg.cn/65/31/23806793-4_u_9.jpg",15,0,0
55,"基督山伯爵","（法）大仲马 著，李玉民 译","朱一龙的夏日书单，（名家名译世界名著）国内知名翻译家作品，值得信赖和典藏。",27.2,"img3m7.ddimg.cn/95/15/23800487-1_w_13.jpg","","",15,0,0
56,"杀死一只知更鸟","哈珀·李　著 李育超 译","豆瓣9.3高分！豆瓣外国小说Top100第13名！写出孩子心中直觉的是非观念，社会公正。阐释正义，勇气，赤子之心！罗翔推荐，罗翔书单推荐。",48.0,"img3m2.ddimg.cn/1/34/24185602-1_w_25047.jpg","img3m2.ddimg.cn/1/34/24185602-2_u_25231.jpg","img3m2.ddimg.cn/1/34/24185602-3_u_25369.jpg",15,0,0
57,"悲惨世界","（法）维克多·雨果 著，李玉民 译","列夫·托尔雨果“命运三部曲”之一，一部气势恢宏的“人类苦难的百科全书”，",44.2,"img3m1.ddimg.cn/30/17/23783691-1_w_18.jpg","","",15,0,0
58,"马尔克斯：百年孤独","加西亚·马尔克斯 著","新版典藏内封。加西亚·马尔克斯代表作，惟一正式中文版，未作任何删节，发行量超800万册！",39.6,"img3m6.ddimg.cn/83/20/25138856-1_u_6.jpg","img3m6.ddimg.cn/83/20/25138856-2_u_8.jpg","img3m6.ddimg.cn/83/20/25138856-4_u_9.jpg",15,0,0
59,"面纱","〔英〕毛姆 著，王晋华 译","毛姆笔下“一部以故事情节而不是以人物为发展契机的小说”。一场乱世爱情，一幕婚外恋，一个女人关于爱与自我的救赎。在书中收获爱情与自由的真谛。",12.2,"img3m0.ddimg.cn/77/11/26445650-1_u_11.jpg","img3m0.ddimg.cn/77/11/26445650-2_u_14.jpg","img3m0.ddimg.cn/77/11/26445650-3_u_13.jpg",16,0,0
60,"高老头","[法]巴尔扎克 著 许渊冲 译","《高老头》是巴尔扎克小说创作的代表作，拉开了《人间喜剧》的序幕。",9.9,"img3m9.ddimg.cn/77/35/24170729-1_u_16.jpg","img3m9.ddimg.cn/77/35/24170729-2_u_14.jpg","img3m9.ddimg.cn/77/35/24170729-3_u_14.jpg",16,0,0
61,"老人与海","[美] 海明威 著","作家鲁羊经典全译本！董宇辉老师多次推荐！30万多条真实口碑热评！连续4年稳居当当世界名著畅销榜！被誉为“海明威在当代汉语中成功的转世！”读经典名著，认准作家榜！谨防假冒！",19.9,"img3m3.ddimg.cn/25/3/24183943-1_u_240.jpg","img3m3.ddimg.cn/25/3/24183943-3_u_177.jpg","img3m3.ddimg.cn/25/3/24183943-5_u_188.jpg",16,0,0
62,"茶花女","（法）小仲马　著，李玉民　译","名家全译本 首都师范大学教授、著名翻译家李玉民权威译作 国际大师插图，依据法国出版界传奇“伽利玛出版社”底本译出。",8.3,"img3m8.ddimg.cn/68/8/23645228-1_u_12.jpg","img3m8.ddimg.cn/68/8/23645228-2_u_10.jpg","img3m8.ddimg.cn/68/8/23645228-3_u_5.jpg",16,0,0
63,"罪与罚","（俄）陀思妥耶夫斯基（著),朱宪生、曾思艺译","名家全译本 上海师范大学教授、著名翻译家朱宪生译作 国际大师插图",9.9,"img3m2.ddimg.cn/74/3/23806802-1_w_13.jpg","img3m2.ddimg.cn/74/3/23806802-2_u_11.jpg","img3m2.ddimg.cn/74/3/23806802-4_u_13.jpg",16,0,0
64,"飘（上下）","（美）米切尔 著，黄健人 译","又名《乱世佳人》，世界十大名著之一，豆瓣9.6高分，名家全译本 中南大学教授黄健人权威译作 国际大师插图 完美典藏版",32.5,"img3m2.ddimg.cn/33/23/23671032-2_u_7.jpg","img3m2.ddimg.cn/33/23/23671032-3_u_8.jpg","img3m2.ddimg.cn/33/23/23671032-4_u_2.jpg",16,0,0
65,"战争与和平","列夫·托尔斯泰 著，朱宪生 陆博 泽","《战争与和平》被《纽约时报》和美国《读者文摘》组织的横跨欧、亚、美、澳、非五大洲百城十万读者的投票调查，精选为十部经典长篇名著之一!",30.6,"img3m6.ddimg.cn/84/20/23790576-1_w_12.jpg","","",16,0,0
66,"复活","〔俄〕列夫·托尔斯泰 著 草婴 译","翻译家、《辞海》外国文学学科主编草婴历时20载匠心翻译。",32.9,"img3m9.ddimg.cn/39/5/28473429-1_u_14.jpg","img3m9.ddimg.cn/39/5/28473429-2_u_15.jpg","img3m9.ddimg.cn/39/5/28473429-3_u_15.jpg",16,0,0
67,"我们仨","杨绛","《我们仨》杨绛以简洁而沉重的语言，回忆先她而去的女儿钱媛、丈夫钱钟书，回忆一家三口那些快乐而艰难、爱与痛的日子。家庭是一生的庇护所，生命的意义不会因为躯体的生灭而有所改变。三联书店出版",21.0,"img3m4.ddimg.cn/49/19/25284154-1_u_29.jpg","img3m4.ddimg.cn/49/19/25284154-2_u_28.jpg","img3m4.ddimg.cn/49/19/25284154-4_u_25.jpg",16,0,0
68,"皮囊","蔡崇达","爆炸贴400万册或350万册随机发货。刘德华、韩寒、白岩松推荐。书封采用具有肌肤质感的SKINS纸。命运是一条闪闪发光的金色河流，我们卸下皮囊，以心相交。",22.4,"img3m1.ddimg.cn/3/6/27872661-1_u_38.jpg","img3m1.ddimg.cn/3/6/27872661-4_u_37.jpg","",16,0,0
